Date,Type,Title,Rating (R relevant / B background / N not relevant),Where it lands on the site,URL
15 June 2022,EDPB Binding Decisions,Decision 01/2022 on the dispute arisen on the draft decision of the French Supervisory Authority regarding Accor SA under Article 65(1)(a) GDPR,N,,https://www.edpb.europa.eu/documents/edpb-binding-decisions/decision-012022-on-the-dispute-arisen-on-the-draft-decision-of-the_en
14 June 2022,"Reports, statements, and letters",Response of the EDPB to the European Commission's targeted consultation on a digital euro,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/response-of-the-edpb-to-the-european-commissions-targeted_en
12 May 2022,Guideline,Guidelines 06/2022 on the practical implementation of amicable settlements,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-062022-on-the-practical-implementation-of-amicable-settlements_en
12 May 2022,"Reports, statements, and letters",EDPB Annual Report 2021,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2021_en
04 May 2022,Legislative opinion,EDPB-EDPS Joint Opinion 2/2022 on the Proposal of the European Parliament and of the Council on harmonised rules on fair access to and use of data (Data Act),N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-22022-on-the-proposal-of-the-european_en
04 May 2022,Opinion of the Board (Art. 64),Opinion 09/2022 on the draft decision of the Danish Supervisory Authority regarding the Processor Binding Corporate Rules of Bioclinica Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-092022-on-the-draft-decision-of-the-danish_en
04 May 2022,Opinion of the Board (Art. 64),Opinion 08/2022 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of Bioclinica Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-082022-on-the-draft-decision-of-the-danish_en
28 April 2022,"Reports, statements, and letters",Statement on enforcement cooperation,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-on-enforcement-cooperation_en
19 April 2022,Opinion of the Board (Art. 64),Opinion 06/2022 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of Groupon International Limited,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-062022-on-the-draft-decision-of-the-irish-supervisory_en
19 April 2022,Opinion of the Board (Art. 64),Opinion 05/2022 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of the Lundbeck Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-052022-on-the-draft-decision-of-the-danish_en
19 April 2022,Opinion of the Board (Art. 64),Opinion 07/2022 on the draft decision of the Hungarian Supervisory Authority regarding the Controller Binding Corporate Rules of MOL Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-072022-on-the-draft-decision-of-the-hungarian_en
06 April 2022,Rules of procedure,Rules of Procedure - version 8,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/rules-of-procedure/rules-of-procedure-version-8_en
06 April 2022,Statement,Statement 01/2022 on the announcement of an agreement in principle on a new Trans-Atlantic Data Privacy Framework,B,DPF history,https://www.edpb.europa.eu/documents/statement/statement-012022-on-the-announcement-of-an-agreement-in-principle-on-a-new_en
18 March 2022,Opinion of the Board (Art. 64),Opinion 04/2022 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of Norican Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-042022-on-the-draft-decision-of-the-danish_en
14 March 2022,Legislative opinion,EDPB-EDPS Joint Opinion 1/2022 on the extension of the Covid-19 certificate Regulation,N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-12022-on-the-extension-of-the-covid-19_en
14 March 2022,Guideline,Guidelines 02/2022 on the application of Article 60 GDPR,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-022022-on-the-application-of-article-60-gdpr_en
14 March 2022,Other guidance,Toolbox on essential data protection safeguards for enforcement cooperation between EEA data protection authorities and competent data protection authorities of third countries,N,,https://www.edpb.europa.eu/documents/other-guidance/toolbox-on-essential-data-protection-safeguards-for-enforcement_en
22 February 2022,Guideline,Guidelines 04/2021 on Codes of Conduct as tools for transfers,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-042021-on-codes-of-conduct-as-tools-for-transfers_en
21 February 2022,Support Pool of Experts,"Call for Expressions of Interest ""Experts for the implementation of the EDPB's Support Pool of Experts""",N,,https://www.edpb.europa.eu/documents/support-pool-of-experts/call-for-expressions-of-interest-experts-for-the-implementation_en
08 February 2022,Opinion of the Board (Art. 64),Opinion 1/2022 on the draft decision of the Luxembourg Supervisory Authority regarding the GDPR - CARPA certification criteria,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-12022-on-the-draft-decision-of-the-luxembourg_en
07 February 2022,Opinion of the Board (Art. 64),Opinion 02/2022 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the WEBHELP Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-022022-on-the-draft-decision-of-the-french_en
07 February 2022,Opinion of the Board (Art. 64),Opinion 03/2022 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the WEBHELP Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-032022-on-the-draft-decision-of-the-french_en
03 January 2022,Guideline,Guidelines 01/2021 on Examples regarding Personal Data Breach Notification,R,Incident tool cross-check,https://www.edpb.europa.eu/documents/guideline/guidelines-012021-on-examples-regarding-personal-data-breach-notification_en
14 December 2021,Opinion of the Board (Art. 64),"Opinion 39/2021 on whether Article 58(2)(g) GDPR could serve as a legal basis for a supervisory authority to order ex officio the erasure of personal data, in a situation where such request was not submitted by the data subject",N,Art 64 opinion on a matter outside the site's scope,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-392021-on-whether-article-582g-gdpr-could-serve-as-a_en
14 December 2021,"Reports, statements, and letters",Contribution of the EDPB to the European Commission's evaluation of the Data Protection Law Enforcement Directive (LED) under Article 62,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/contribution-of-the-edpb-to-the-european-commissions_en
30 November 2021,Opinion of the Board (Art. 64),Opinion 36/2021 on the draft decision of the competent supervisory authority of Norway regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-362021-on-the-draft-decision-of-the-competent_en
30 November 2021,Opinion of the Board (Art. 64),Opinion 37/2021 on the draft decision of the competent supervisory authority of Malta regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-372021-on-the-draft-decision-of-the-competent_en
30 November 2021,Opinion of the Board (Art. 64),Opinion 35/2021 on the draft decision of the competent supervisory authority of Belgium regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-352021-on-the-draft-decision-of-the-competent_en
20 November 2021,Opinion of the Board (Art. 64),Opinion 38/2021 on the draft decision of the competent supervisory authority of Latvia regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-382021-on-the-draft-decision-of-the-competent_en
18 November 2021,"Reports, statements, and letters",Statement on the Digital Services Package and Data Strategy,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-on-the-digital-services-package-and-data_en
08 November 2021,Legal study by external providers,"Legal study on government access to data in third countries - China, India, Russia",B,TIA reference,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/legal-study-on-government-access-to-data-in-third_en
26 October 2021,Opinion of the Board (Art. 64),Opinion 33/2021 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules of Carrier,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-332021-on-the-draft-decision-of-the-belgian_en
26 October 2021,Opinion of the Board (Art. 64),Opinion 34/2021 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules of Otis,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-342021-on-the-draft-decision-of-the-belgian_en
13 October 2021,Guideline,Guidelines 10/2020 on restrictions under Article 23 GDPR,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-102020-on-restrictions-under-article-23-gdpr_en
24 September 2021,Adequacy,Opinion 32/2021 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data in the Republic of Korea,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-322021-regarding-the-european-commission-draft-implementing-decision_en
07 September 2021,Legal study by external providers,Legal study on the appropriate safeguards under Article 89(1) GDPR for the processing of personal data for scientific research,N,,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/legal-study-on-the-appropriate-safeguards-under-article_en
11 August 2021,"Reports, statements, and letters",Overview on resources made available by Member States to the Data Protection Authorities and on enforcement actions by the Data Protection Authorities,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/overview-on-resources-made-available-by-member-states-to_en
05 August 2021,Opinion of the Board (Art. 64),"Opinion 28/2021 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules of Oregon Tool, Inc (formerly ""Blount"")",N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-282021-on-the-draft-decision-of-the-belgian_en
05 August 2021,Opinion of the Board (Art. 64),Opinion 26/2021 on the draft decision of the Supervisory Authority of North Rhine-Westphalia (Germany) regarding the Controller Binding Corporate Rules of the Internet Initiative Japan Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-262021-on-the-draft-decision-of-the-supervisory_en
05 August 2021,Opinion of the Board (Art. 64),Opinion 27/2021 on the draft decision of the Supervisory Authority of North Rhine-Westphalia (Germany) regarding the Processor Binding Corporate Rules of the Internet Initiative Japan Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-272021-on-the-draft-decision-of-the-supervisory_en
05 August 2021,Opinion of the Board (Art. 64),Opinion 30/2021 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of the COLT Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-302021-on-the-draft-decision-of-the-spanish_en
05 August 2021,Opinion of the Board (Art. 64),Opinion 31/2021 on the draft decision of the Spanish Supervisory Authority regarding the Processor Binding Corporate Rules of the COLT Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-312021-on-the-draft-decision-of-the-spanish_en
05 August 2021,Opinion of the Board (Art. 64),"Opinion 29/2021 on the draft decision of the Belgian Supervisory Authority regarding the Processor Binding Corporate Rules of Oregon Tool, Inc (Formerly ""Blount"")",N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-292021-on-the-draft-decision-of-the-belgian_en
01 August 2021,Legal study by external providers,Study on the interplay between the AMLD and the GDPR framework,N,,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/study-on-the-interplay-between-the-amld-and-the-gdpr_en
28 July 2021,EDPB Binding Decisions,Binding decision 1/2021 on the dispute arisen on the draft decision of the Irish Supervisory Authority regarding WhatsApp Ireland under Article 65(1)(a) GDPR,B,"Topic 15: transparency, WhatsApp",https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-12021-on-the-dispute-arisen-on-the-draft-decision_en
20 July 2021,Opinion of the Board (Art. 64),Opinion 25/2021 on the draft decision of the competent supervisory authority of Lithuania regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-252021-on-the-draft-decision-of-the-competent_en
20 July 2021,Opinion of the Board (Art. 64),Opinion 24/2021 on the draft decision of the competent supervisory authority of Slovakia regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-242021-on-the-draft-decision-of-the-competent_en
20 July 2021,Opinion of the Board (Art. 64),Opinion 23/2021 on the draft decision of the competent supervisory authority of Czech Republic regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-232021-on-the-draft-decision-of-the-competent_en
12 July 2021,EDPB Binding Decisions,Urgent Binding Decision 01/2021 on the request under Article 66(2) GDPR from the Hamburg (German) Supervisory Authority for ordering the adoption of final measures regarding Facebook Ireland Limited,N,,https://www.edpb.europa.eu/documents/edpb-binding-decisions/urgent-binding-decision-012021-on-the-request-under-article-662_en
07 July 2021,Guideline,Guidelines 02/2021 on virtual voice assistants,B,Topic 4 if voice notetakers are covered,https://www.edpb.europa.eu/documents/guideline/guidelines-022021-on-virtual-voice-assistants_en
07 July 2021,Guideline,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,R,Privacy Assessment third-party roles; TPSA intake,https://www.edpb.europa.eu/documents/guideline/guidelines-072020-on-the-concepts-of-controller-and-processor-in-the-gdpr_en
07 July 2021,Internal document,"Internal EDPB Document 5/2021 on handling complaints against public authorities or private bodies acting on the basis of Article 6(1), point (c) or (e), GDPR in another EEA Member State",N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-52021-on-handling-complaints-against-public_en
01 July 2021,Opinion of the Board (Art. 64),Opinion 21/2021 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the CGI Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-212021-on-the-draft-decision-of-the-french_en
01 July 2021,Opinion of the Board (Art. 64),Opinion 22/2021 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the CGI Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-222021-on-the-draft-decision-of-the-french_en
29 June 2021,Other guidance,One-Stop-Shop Leaflet,N,,https://www.edpb.europa.eu/documents/other-guidance/one-stop-shop-leaflet_en
18 June 2021,Recommendation,Recommendations 01/2020 on measures that supplement transfer tools to ensure compliance with the EU level of protection of personal data,R,Privacy Assessment TIA factor,https://www.edpb.europa.eu/documents/recommendation/recommendations-012020-on-measures-that-supplement-transfer-tools-to_en
18 June 2021,Legislative opinion,EDPB-EDPS Joint Opinion 5/2021 on the proposal for a Regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act),B,AI Act history,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-52021-on-the-proposal-for-a-regulation-of-the_en
18 June 2021,Legislative opinion,Opinion 20/2021 on Tobacco Traceability System,N,,https://www.edpb.europa.eu/documents/legislative-opinion/opinion-202021-on-tobacco-traceability-system_en
18 June 2021,Internal document,Internal EDPB Document 04/2021 on criteria of territorial competence of supervisory authorities to enforce Article 5(3) of the ePrivacy Directive,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-042021-on-criteria-of-territorial-competence-of_en
02 June 2021,"Reports, statements, and letters",EDPB Annual Report 2020,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2020_en
01 June 2021,Opinion of the Board (Art. 64),Opinion 19/2021 on the draft decision of the competent supervisory authority of Hungary regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-192021-on-the-draft-decision-of-the-competent_en
20 May 2021,"Reports, statements, and letters",Statement 05/2021 on the Data Governance Act in light of the legislative developments,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-052021-on-the-data-governance-act-in-light-of_en
19 May 2021,Opinion of the Board (Art. 64),Opinion 17/2021 on the draft decision of the French Supervisory Authority regarding the European code of conduct submitted by the Cloud Infrastructure Service Providers (CISPE),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-172021-on-the-draft-decision-of-the-french_en
19 May 2021,Opinion of the Board (Art. 64),"Opinion 16/2021 on the draft decision of the Belgian Supervisory Authority regarding the ""EU Data Protection Code of Conduct for Cloud Service Providers"" submitted by Scope Europe",N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-162021-on-the-draft-decision-of-the-belgian_en
19 May 2021,Recommendation,Recommendations 02/2021 on the legal basis for the storage of credit card data for the sole purpose of facilitating further online transactions,R,Topic 15 e-commerce forms,https://www.edpb.europa.eu/documents/recommendation/recommendations-022021-on-the-legal-basis-for-the-storage-of-credit-card_en
19 May 2021,Opinion of the Board (Art. 64),Opinion 18/2021 on the draft Standard Contractual Clauses submitted by the LT SA (Article 28(8) GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182021-on-the-draft-standard-contractual-clauses_en
04 May 2021,"Reports, statements, and letters",EDPB contribution to the 6th round of consultations on the draft Second Additional Protocol to the Council of Europe Budapest Convention on Cybercrime,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-contribution-to-the-6th-round-of-consultations-on-the_en
13 April 2021,Statement,Statement 04/2021 on international agreements including transfers,B,Topic 12,https://www.edpb.europa.eu/documents/statement/statement-042021-on-international-agreements-including-transfers_en
13 April 2021,Adequacy,Opinion 14/2021 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data in the United Kingdom,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-142021-regarding-the-european-commission-draft-implementing-decision_en
13 April 2021,Adequacy,Opinion 15/2021 regarding the European Commission Draft Implementing Decision pursuant to Directive (EU) 2016/680 on the adequate protection of personal data in the United Kingdom,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-152021-regarding-the-european-commission-draft-implementing-decision_en
13 April 2021,Internal procedural guidance,Internal EDPB Document 3/2021 providing guidance on the planning and preparation of EDPB Binding Decisions under Article 65(1)(a) GDPR,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-procedural-guidance/internal-edpb-document-32021-providing-guidance-on-the_en
13 April 2021,Guideline,Guidelines 8/2020 on the targeting of social media users,R,Topic 18 profiling,https://www.edpb.europa.eu/documents/guideline/guidelines-82020-on-the-targeting-of-social-media-users_en
31 March 2021,Legislative opinion,"EDPB-EDPS Joint Opinion 04/2021 on the Proposal for a Regulation of the European Parliament and of the Council on a framework for the issuance, verification and acceptance of interoperable certificates on vaccination, testing and recovery",N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-042021-on-the-proposal-for-a-regulation-of_en
23 March 2021,Opinion of the Board (Art. 64),Opinion 11/2021 on the draft decision of the competent supervisory authority of Norway regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-112021-on-the-draft-decision-of-the-competent_en
23 March 2021,Opinion of the Board (Art. 64),Opinion 13/2021 on the draft decision of the competent supervisory authority of Romania regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-132021-on-the-draft-decision-of-the-competent_en
23 March 2021,Opinion of the Board (Art. 64),Opinion 12/2021 on the draft decision of the competent supervisory authority of Portugal regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-122021-on-the-draft-decision-of-the-competent_en
23 March 2021,Opinion of the Board (Art. 64),Opinion 10/2021 on the draft decision of the competent supervisory authority of Hungary regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-102021-on-the-draft-decision-of-the-competent_en
16 March 2021,"Reports, statements, and letters",EDPB Work Programme 2021-2022,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-work-programme-2021-2022_en
11 March 2021,Legislative opinion,EDPB-EDPS Joint Opinion 03/2021 on the Proposal for a regulation of the European Parliament and of the Council on European data governance (Data Governance Act),N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-032021-on-the-proposal-for-a-regulation-of_en
09 March 2021,"Reports, statements, and letters",Statement 03/2021 on the ePrivacy Regulation,B,Topic 15 history,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-032021-on-the-eprivacy-regulation_en
09 March 2021,Guideline,Guidelines 09/2020 on relevant and reasoned objection under Regulation 2016/679,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-092020-on-relevant-and-reasoned-objection-under-regulation-2016679_en
09 March 2021,Guideline,Guidelines 01/2020 on processing personal data in the context of connected vehicles and mobility related applications,B,Topic 1 fleet GPS example,https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en
16 February 2021,Opinion of the Board (Art. 64),Opinion 07/2021 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of Kumon Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-072021-on-the-draft-decision-of-the-spanish_en
16 February 2021,Opinion of the Board (Art. 64),Opinion 06/2021 on the draft decision of the Spanish Supervisory Authority regarding the Processor Binding Corporate Rules of Kumon Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-062021-on-the-draft-decision-of-the-spanish_en
16 February 2021,Opinion of the Board (Art. 64),Opinion 08/2021 on the draft decision of the Baden-Wurttemberg Supervisory Authority regarding the Processor Binding Corporate Rules of Luxoft Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-082021-on-the-baden-wurttemberg_en
16 February 2021,Opinion of the Board (Art. 64),Opinion 09/2021 on the draft decision of the Baden-Wurttemberg Supervisory Authority regarding the Controller Binding Corporate Rules of Luxoft Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-092021-on-the-baden-wurttemberg_en
02 February 2021,Internal document,Internal EDPB Document 02/2021 on SAs duties in relation to alleged GDPR infringements,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-022021-on-sas-duties-in-relation-to-alleged-gdpr_en
02 February 2021,Recommendation,Recommendations 01/2021 on the adequacy referential under the Law Enforcement Directive,N,,https://www.edpb.europa.eu/documents/recommendation/recommendations-012021-on-the-adequacy-referential-under-the-law_en
02 February 2021,Opinion of the Board (Art. 64),Opinion 05/2021 on the draft Administrative Arrangement for the transfer of personal data between the Haut Conseil du Commissariat aux Comptes (H3C) and the Public Company Accounting Oversight Board (PCAOB),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-052021-on-the-draft-administrative-arrangement-for_en
02 February 2021,Other guidance,"EDPB Document on response to the request from the European Commission for clarifications on the consistent application of the GDPR, focusing on health research",N,,https://www.edpb.europa.eu/documents/other-guidance/edpb-document-on-response-to-the-request-from-the-european-commission-for_en
02 February 2021,"Reports, statements, and letters",Statement 02/2021 on new draft provisions of the second additional protocol to the Council of Europe Convention on Cybercrime (Budapest Convention),N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-022021-on-new-draft-provisions-of-the-second_en
22 January 2021,Opinion of the Board (Art. 64),Opinion 04/2021 on the draft decision of the Belgian Supervisory Authority regarding the Processor Binding Corporate Rules of BDO,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-042021-on-the-draft-decision-of-the-belgian_en
22 January 2021,Opinion of the Board (Art. 64),Opinion 01/2021 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of Saxo Bank Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-012021-on-the-draft-decision-of-the-danish_en
22 January 2021,Opinion of the Board (Art. 64),Opinion 02/2021 on the draft decision of the Swedish Supervisory Authority regarding the Controller Binding Corporate Rules of Elanders Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-022021-on-the-draft-decision-of-the-swedish_en
